group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,HLA-DPB1,36.484467,,1.955653828563959e-291,3.911307657127918e-288,1.0,1.0
0,HLA-DPA1,35.044876,,4.667142838528728e-269,4.667142838528728e-266,1.0,1.0
0,C1QA,34.332478,,2.5719253561461306e-258,1.7146169040974204e-255,1.0,1.0
0,C1QB,33.135227,,9.245263870354261e-241,4.6226319351771305e-238,1.0,1.0
0,C3,32.425957,,1.1823663218106859e-230,4.7294652872427434e-228,1.0,1.0
0,LYZ,32.27975,,1.3459615728068356e-228,4.486538576022785e-226,1.0,1.0
0,CD52,31.805101,,5.5028540967536004e-222,1.5722440276438858e-219,1.0,1.0
0,IL32,31.788864,,9.226509750127028e-222,2.3066274375317572e-219,1.0,1.0
0,TIMP1,31.603632,,3.2913842787893245e-219,7.3141872861985e-217,1.0,1.0
0,HLA-DQA1,30.893307,,1.4691837218944425e-209,2.938367443788885e-207,1.0,1.0
0,HLA-DQB1,30.2214,,1.2399580183335644e-200,2.2544691242428446e-198,1.0,1.0
0,TRBC2,30.06025,,1.6038988418562343e-198,2.673164736427057e-196,1.0,1.0
0,TXNIP,29.963078,,2.972389542915647e-197,4.572906989100995e-195,1.0,1.0
0,CORO1A,28.728802,,1.666954593781158e-181,2.3813637054016543e-179,1.0,1.0
0,GSTP1,28.659935,,1.205445143479081e-180,1.6072601913054415e-178,1.0,1.0
0,IGLC2,28.12004,,5.572807816959749e-174,6.966009771199685e-172,1.0,1.0
0,CCL5,27.853693,,9.717307969350292e-171,1.1432127022765048e-168,1.0,1.0
0,C1QC,27.803783,,3.904126410327305e-170,4.337918233697006e-168,1.0,1.0
0,SERPING1,27.385944,,4.032545289170846e-165,4.24478451491668e-163,1.0,1.0
0,A2M,26.38498,,2.0379825531349787e-153,2.0379825531349787e-151,1.0,1.0
0,ITGB2,25.990307,,6.3736530528490235e-149,6.070145764618117e-147,1.0,1.0
0,IGKC,25.9184,,4.1315408566499334e-148,3.7559462333181216e-146,1.0,1.0
0,ZFP36L2,25.601748,,1.4587307484946222e-144,1.2684615204301062e-142,1.0,1.0
0,IGHG1,25.352705,,8.389813318030575e-142,6.956197140793189e-140,1.0,1.0
0,TRAC,25.351297,,8.695246425991486e-142,6.956197140793189e-140,1.0,1.0
0,C1R,25.323357,,1.7668973224004414e-141,1.3591517864618782e-139,1.0,1.0
0,IGHG3,25.207666,,3.30087337243084e-140,2.4450913869858074e-138,1.0,1.0
0,FXYD5,25.189373,,5.237702606636282e-140,3.741216147597344e-138,1.0,1.0
0,CCL19,25.087229,,6.855474055177357e-139,4.727913141501625e-137,1.0,1.0
0,LTB,25.071922,,1.0070148908652491e-138,6.713432605768328e-137,1.0,1.0
0,CTSS,25.049417,,1.7715603525075277e-138,1.1429421629080823e-136,1.0,1.0
0,LSP1,24.659744,,2.89299859329512e-134,1.80812412080945e-132,1.0,1.0
0,HLA-DMA,24.566164,,2.906040445274416e-133,1.761236633499646e-131,1.0,1.0
0,LIMD2,24.55887,,3.477344729959783e-133,2.045496899976343e-131,1.0,1.0
0,COTL1,24.192322,,2.679825221770106e-129,1.5313286981543463e-127,1.0,1.0
0,TRBC1,23.693182,,4.2390926818744805e-124,2.355051489930267e-122,1.0,1.0
0,AIF1,23.642357,,1.414559922857811e-123,7.646269853285465e-122,1.0,1.0
0,CTSC,23.547129,,1.343315174241612e-122,7.070079864429537e-121,1.0,1.0
0,IGHM,23.457703,,1.1030466629343543e-121,5.656649553509509e-120,1.0,1.0
0,SFRP2,23.455309,,1.1668812558872147e-121,5.834406279436073e-120,1.0,1.0
0,LCP1,23.32759,,2.3272423313115234e-120,1.1352401616153772e-118,1.0,1.0
0,GMFG,23.134995,,2.058653826274937e-118,9.803113458452082e-117,1.0,1.0
0,FYB1,23.029823,,2.343393582514596e-117,1.089950503495161e-115,1.0,1.0
0,DCN,23.02543,,2.5934009885764293e-117,1.1788186311711044e-115,1.0,1.0
0,CD68,22.982576,,6.963220902396936e-117,3.0947648455097498e-115,1.0,1.0
0,PLEKHO1,22.825201,,2.5775408689763935e-115,1.1206699430332146e-113,1.0,1.0
0,HCST,22.812117,,3.4762103234238955e-115,1.47923843549953e-113,1.0,1.0
0,SERPINF1,22.514364,,3.00217899995237e-112,1.2509079166468208e-110,1.0,1.0
0,CD14,22.407574,,3.320453662223281e-111,1.355287209070727e-109,1.0,1.0
0,IGLC3,22.281517,,5.58335652818301e-110,2.233342611273204e-108,1.0,1.0
0,PTPRC,22.078781,,5.05538436959775e-108,1.9825036743520592e-106,1.0,1.0
0,C1S,21.733892,,9.81225160137578e-105,3.773942923606069e-103,1.0,1.0
0,HLA-DMB,21.579727,,2.785064640209732e-103,1.0509677887583895e-101,1.0,1.0
0,CCDC80,21.401312,,1.299022007506169e-101,4.811192620393219e-100,1.0,1.0
0,CD37,21.30583,,1.0023570263935482e-100,3.6449346414310845e-99,1.0,1.0
0,MS4A6A,21.200716,,9.405579747270873e-100,3.3591356240253115e-98,1.0,1.0
0,EMILIN1,21.124498,,4.7362272430042254e-99,1.6618341203523599e-97,1.0,1.0
0,HCLS1,21.011892,,5.105874932916521e-98,1.7606465285919037e-96,1.0,1.0
0,HLA-DQA2,20.65647,,8.53832528865758e-95,2.894347555477146e-93,1.0,1.0
0,SRGN,20.627092,,1.5679771100761314e-94,5.226590366920438e-93,1.0,1.0
0,CD2,20.584944,,3.7447891001217943e-94,1.2277997049579654e-92,1.0,1.0
0,PTGDS,20.417414,,1.1710280624561382e-92,3.7775098788907684e-91,1.0,1.0
0,EMP3,20.411062,,1.3335572169316766e-92,4.233514974386275e-91,1.0,1.0
0,NCF1,20.339733,,5.724204780050898e-92,1.7888139937659056e-90,1.0,1.0
0,ARHGAP45,20.286695,,1.685477296477388e-91,5.186083989161193e-90,1.0,1.0
0,CD53,20.086452,,9.694671048697132e-90,2.937779105665798e-88,1.0,1.0
0,RAC2,19.818357,,2.0674898446041025e-87,6.1716114764301565e-86,1.0,1.0
0,ENG,19.751183,,7.8362394865091495e-87,2.3047763195615144e-85,1.0,1.0
0,LRP1,19.596931,,1.6423063906397715e-85,4.760308378666004e-84,1.0,1.0
0,LST1,19.493494,,1.2467117473040909e-84,3.511864076912933e-83,1.0,1.0
0,WIPF1,19.485466,,1.4584374765347743e-84,4.0512152125965955e-83,1.0,1.0
0,CD48,19.392605,,8.910866493010709e-84,2.4413332857563586e-82,1.0,1.0
0,CXCL12,19.354792,,1.857431950602915e-83,5.020086352980852e-82,1.0,1.0
0,GYPC,19.263987,,1.0775608549857298e-82,2.8734956132952796e-81,1.0,1.0
0,GPNMB,19.23934,,1.7339990338978083e-82,4.563155352362653e-81,1.0,1.0
0,LGALS9,19.137325,,1.2344843015973884e-81,3.206452731421788e-80,1.0,1.0
0,FCER1G,18.902042,,1.0972186630496831e-79,2.7777687672143877e-78,1.0,1.0
0,STAB1,18.881355,,1.62367711222652e-79,4.0591927805662996e-78,1.0,1.0
0,IGHA1,18.802237,,7.239729897528811e-79,1.7875876290194596e-77,1.0,1.0
0,TBC1D10C,18.753075,,1.827177585688724e-78,4.4565306968017656e-77,1.0,1.0
0,CSF1R,18.654339,,1.1643282257080226e-77,2.80561018242897e-76,1.0,1.0
0,ZYX,18.603035,,3.036196171353982e-77,7.229038503223767e-76,1.0,1.0
0,SFRP4,18.502625,,1.966596639848487e-76,4.627286211408204e-75,1.0,1.0
0,LGMN,18.432674,,7.184122150925471e-76,1.6707260816105748e-74,1.0,1.0
0,ARHGAP4,18.367823,,2.3775638257012555e-75,5.465663967129324e-74,1.0,1.0
0,ADA2,18.308056,,7.137277201617649e-75,1.622108454913102e-73,1.0,1.0
0,MSN,18.26913,,1.4575333375716063e-74,3.275355814767655e-73,1.0,1.0
0,SPOCK2,18.1711,,8.742750712719654e-74,1.9428334917154787e-72,1.0,1.0
0,ANXA1,18.087969,,3.9642833760403885e-73,8.712710716572283e-72,1.0,1.0
